"FXY1","Title_en","SubTitle_en","FXY2","ElementName_en","ExistingElementName_en","Note_en","Status"
"301058","(Universal lightning event)","Emission information","020119","Lightning discharge polarity","Lightning discharge polarity",,"Operational"
"301058","(Universal lightning event)","Emission information","025035","Decision method for polarity","Decision method for polarity (V or A)",,"Operational"
"301058","(Universal lightning event)","Emission information","020121","Threshold value for polarity decision","Threshold voltage for polarity decision",,"Operational"
"301058","(Universal lightning event)","Emission information","020122","Threshold value for polarity decision","Threshold current for polarity decision",,"Operational"
"301058","(Universal lightning event)","Emission information","020123","Minimum threshold for detection","Minimum threshold for detection",,"Operational"
"301058","(Universal lightning event)","Emission information","020124","Lightning stroke or flash","Lightning stroke or flash",,"Operational"
"301058","(Universal lightning event)","Emission information","025175","Modified residual","Modified residual",,"Operational"
"301058","(Universal lightning event)","Emission information","020023","Other weather phenomena","Other weather (for cloud to ground or cloud to cloud identification)",,"Operational"
"301058","(Universal lightning event)","Sensor processing","025063","Central processor or system identifier","Central processor identifier",,"Operational"
"301058","(Universal lightning event)","Sensor processing","202136","Change scale",,,"Operational"
"301058","(Universal lightning event)","Sensor processing","201136","Change data width",,,"Operational"
"301058","(Universal lightning event)","Sensor processing","002121","Mean frequency","Mean frequency (to define centre frequency, if used)",,"Operational"
"301058","(Universal lightning event)","Sensor processing","201000","Change data width",,,"Operational"
"301058","(Universal lightning event)","Sensor processing","202000","Change scale",,,"Operational"
"301058","(Universal lightning event)","Sensor processing","025061","Software identification and version number","Software identification and version number",,"Operational"
"301058","(Universal lightning event)","Sensor processing","002184","Type of lightning detection sensor","Type of lightning detection sensor",,"Operational"
"301058","(Universal lightning event)","Sensor processing","002189","Capability to discriminate lightning strikes","Capability to discriminate lightning strike",,"Operational"
"301058","(Universal lightning event)","Sensor processing","025036","Atmospherics location method","Atmospherics location method",,"Operational"
"301058","(Universal lightning event)","Sensor processing","101000","Delayed replication of 1 descriptor","Delayed replication of 1 descriptor",,"Operational"
